no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,booking_status
3,0,2,5,0,155,0,0,0,2,0
2,0,0,5,0,46,0,0,0,1,1
2,2,0,2,0,83,0,0,0,0,0
2,0,0,5,0,128,0,0,0,0,0
2,0,2,0,0,20,0,0,0,2,1
2,0,1,4,0,40,0,0,0,0,1
2,0,1,2,1,46,0,0,0,1,1
1,0,1,0,0,1,0,0,0,2,1
2,0,2,3,0,196,0,0,0,1,1
1,0,0,2,0,188,0,0,0,0,0
2,0,0,1,0,17,1,0,5,0,1
2,0,0,3,0,146,0,0,0,0,1
2,0,1,3,0,110,0,0,0,1,1
2,0,1,2,1,68,0,0,0,0,1
2,0,2,1,0,73,0,0,0,1,1
2,0,0,1,0,92,0,0,0,1,1
2,0,2,5,0,171,0,0,0,0,0
2,1,0,2,1,134,0,0,0,2,1
2,0,0,2,0,320,0,0,0,1,0
2,0,0,4,0,118,0,0,0,1,1
2,0,0,3,0,30,0,0,0,1,1
2,2,1,3,0,30,0,0,0,0,1
2,0,1,0,0,189,0,0,0,2,1
3,0,1,2,0,55,0,0,0,2,1
1,0,0,4,0,55,0,0,0,2,1
2,0,0,1,0,16,0,0,0,1,1
2,0,0,3,0,24,0,0,0,1,1
2,0,0,3,0,8,0,0,0,0,1
2,0,1,4,1,10,0,0,0,0,1
2,0,1,3,0,0,0,0,0,1,1
2,0,0,1,0,12,0,0,0,1,1
2,0,2,1,0,32,0,0,0,3,1
2,0,0,2,0,182,0,0,0,2,0
2,0,1,0,0,1,0,0,0,1,1
2,0,0,3,0,122,0,0,0,2,1
2,0,2,3,0,40,0,0,0,1,1
2,2,2,2,0,116,0,0,0,1,0
3,0,2,2,1,123,0,0,0,1,1
3,0,2,5,0,40,0,0,0,0,0
2,1,2,5,0,105,0,0,0,3,1
2,0,0,1,0,443,0,0,0,0,0
2,0,2,3,0,2,0,0,0,1,1
2,0,0,3,0,317,0,0,0,1,0
2,0,0,2,0,286,0,0,0,0,1
2,0,1,3,0,68,0,0,0,0,0
2,0,0,3,0,148,0,0,0,0,1
3,0,2,0,0,68,0,0,0,2,1
2,0,0,2,0,30,0,0,0,0,1
1,0,0,1,0,14,0,0,0,1,0
2,2,0,2,0,110,0,0,0,0,0
1,0,2,3,0,117,0,0,0,0,1
2,0,1,4,0,85,0,0,0,1,1
2,0,0,2,0,1,0,0,0,2,1
1,0,1,2,0,25,0,0,0,2,1
2,0,2,4,0,289,0,0,0,2,0
2,0,1,4,0,28,0,0,0,0,1
1,0,0,4,0,80,0,0,0,0,1
2,0,0,1,0,11,0,0,0,2,1
2,1,1,0,0,162,0,0,0,2,0
2,0,2,5,0,155,0,0,0,2,1
1,0,2,2,0,82,0,0,0,0,1
3,0,2,4,0,27,0,0,0,0,0
1,0,1,2,0,13,0,0,0,0,1
2,0,0,2,0,245,0,0,0,0,0
2,0,0,2,0,11,0,0,0,1,0
2,0,2,2,0,266,0,0,0,2,1
2,0,1,0,0,39,0,0,0,1,1
1,0,0,2,0,13,1,3,5,1,1
2,0,0,4,0,112,0,0,0,1,1
2,0,1,2,0,88,0,0,0,1,1
2,0,0,1,0,56,0,0,0,0,1
2,0,2,3,0,73,0,0,0,0,0
2,0,1,1,0,80,0,0,0,1,1
2,0,0,3,0,130,0,0,0,2,0
2,0,1,3,0,69,0,0,0,1,1
2,0,0,2,0,273,0,0,0,0,0
2,0,0,1,0,55,0,0,0,0,1
1,0,0,3,0,4,1,1,5,1,1
2,0,0,3,0,97,0,0,0,0,1
2,0,0,3,0,44,0,0,0,0,1
2,0,0,1,0,31,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,1
2,0,2,2,0,62,0,0,0,2,1
2,0,2,2,0,86,0,0,0,1,1
3,0,2,2,0,3,0,0,0,1,1
2,0,1,1,0,197,0,0,0,1,1
2,0,0,2,0,143,0,0,0,2,1
1,0,2,1,0,23,0,0,0,0,1
2,0,0,2,0,8,0,0,0,0,0
1,0,0,2,0,13,0,0,0,1,1
2,0,1,2,0,280,0,0,0,0,0
2,1,1,0,0,11,0,0,0,1,1
2,0,0,2,0,317,0,0,0,0,0
2,0,1,2,0,185,0,0,0,0,0
2,0,1,3,0,160,0,0,0,1,1
2,0,0,4,0,104,0,0,0,1,1
2,1,0,1,0,11,0,0,0,1,0
2,0,0,1,0,2,0,0,0,0,1
2,0,1,4,0,14,0,0,0,1,1
2,0,0,2,0,22,0,0,0,0,1
1,1,2,5,0,37,0,0,0,0,1
2,0,0,2,0,292,0,0,0,0,0
2,0,0,3,0,11,0,0,0,1,1
2,0,1,3,0,86,0,0,0,1,1
2,0,0,1,0,109,0,0,0,0,0
2,0,1,1,0,72,0,0,0,1,1
2,0,1,5,0,196,0,0,0,0,0
2,0,0,2,0,56,0,0,0,1,1
2,0,1,3,0,189,0,0,0,0,1
2,0,1,4,0,126,0,0,0,0,1
2,0,2,3,0,303,0,0,0,0,0
1,0,2,2,0,81,0,0,0,1,1
2,0,1,2,0,54,0,0,0,0,0
1,0,0,1,0,15,0,0,0,0,0
2,0,0,4,0,86,0,0,0,0,0
2,0,1,2,0,161,0,0,0,0,0
2,0,4,10,0,147,0,0,0,1,0
2,0,1,2,0,92,0,0,0,0,1
2,0,0,1,0,87,0,0,0,0,0
2,0,2,1,0,109,0,0,0,0,1
2,0,0,4,0,127,0,0,0,2,1
2,0,1,2,0,418,0,0,0,0,0
2,0,1,4,0,156,0,0,0,1,1
2,0,0,2,0,80,0,0,0,1,0
2,0,2,2,0,211,0,0,0,0,0
2,0,1,2,0,273,0,0,0,0,0
2,0,2,1,0,58,0,0,0,1,1
2,0,0,3,0,433,0,0,0,0,0
2,0,1,3,0,111,0,0,0,1,1
2,0,2,3,0,34,0,0,0,0,1
2,0,2,4,0,17,0,0,0,0,1
1,0,0,0,0,4,0,0,0,1,1
2,0,0,3,0,6,0,0,0,1,1
2,0,1,1,0,32,0,0,0,1,1
2,0,0,1,0,4,0,0,0,2,1
3,0,2,1,0,195,0,0,0,1,0
2,0,2,2,0,119,0,0,0,1,1
1,0,1,1,0,13,0,0,0,0,1
2,0,0,2,0,59,0,0,0,2,1
2,1,2,5,0,78,0,0,0,1,1
2,0,0,3,0,335,0,0,0,1,1
2,0,2,5,0,103,0,0,0,0,1
1,0,0,2,0,0,0,0,0,1,1
2,0,0,1,0,118,0,0,0,0,1
2,0,1,5,0,56,0,0,0,0,1
2,0,0,2,0,107,0,0,0,1,1
2,0,1,3,0,70,0,0,0,1,1
2,0,0,2,0,76,0,0,0,1,1
2,2,2,2,0,144,0,0,0,1,0
1,2,2,2,0,4,0,0,0,2,1
2,1,0,2,0,15,0,0,0,1,1
1,0,1,2,0,32,0,0,0,0,0
3,0,1,1,0,49,0,0,0,0,0
2,1,1,3,0,77,0,0,0,1,1
1,0,0,2,0,22,0,0,0,0,1
2,0,1,0,0,0,0,0,0,0,1
2,1,0,1,1,58,0,0,0,1,1
2,0,2,6,0,4,0,0,0,1,1
2,0,0,2,0,117,0,0,0,0,0
2,0,1,3,0,36,0,0,0,0,0
2,0,2,2,0,35,0,0,0,2,1
2,0,1,0,0,31,0,0,0,0,0
2,0,2,4,0,79,0,0,0,0,1
2,0,1,2,0,1,0,0,0,0,1
2,0,0,2,0,21,0,0,0,0,1
2,0,0,2,0,12,0,0,0,1,1
2,0,1,0,0,33,0,0,0,1,1
1,0,0,2,0,164,0,0,0,0,1
2,0,0,3,1,78,0,0,0,1,1
2,0,0,4,0,18,0,0,0,0,0
2,0,1,2,0,21,0,0,0,0,0
1,0,1,3,0,0,0,0,0,1,1
3,0,2,1,0,152,0,0,0,1,0
2,0,2,3,0,43,0,0,0,0,1
2,0,0,4,0,177,0,0,0,1,0
2,0,1,1,0,47,0,0,0,0,1
3,0,0,3,0,57,0,0,0,0,1
2,0,2,4,0,60,0,0,0,1,1
2,0,0,1,0,0,0,0,0,0,1
2,0,0,2,0,102,0,0,0,0,0
2,0,0,3,0,71,0,0,0,1,1
3,0,2,3,0,111,0,0,0,1,1
3,0,1,1,0,1,0,0,0,3,1
2,0,1,1,0,4,0,0,0,0,1
2,0,1,3,0,25,0,0,0,1,1
1,0,2,2,0,209,0,0,0,1,0
1,0,2,1,0,93,0,0,0,0,0
2,0,2,5,0,53,0,0,0,2,1
1,0,0,2,0,1,1,0,1,1,1
1,0,2,1,0,4,0,0,0,1,1
2,0,0,3,0,302,0,0,0,2,0
2,0,0,2,0,122,0,0,0,0,1
1,0,0,1,0,16,0,0,0,0,1
2,0,2,4,0,28,0,0,0,1,0
2,0,1,2,0,161,0,0,0,0,0
3,0,0,2,0,57,0,0,0,2,1
2,0,1,0,0,19,0,0,0,1,1
3,0,2,4,0,109,0,0,0,4,1
1,0,0,2,0,239,0,0,0,0,0
1,0,2,1,0,33,0,0,0,2,1
2,0,0,3,0,11,0,0,0,1,1
3,0,2,5,0,40,0,0,0,1,1
3,0,1,1,0,45,0,0,0,0,1
2,0,1,3,0,41,0,0,0,0,0
2,0,0,4,0,167,0,0,0,0,0
2,0,0,4,0,62,0,0,0,0,0
1,0,1,4,0,113,0,0,0,0,0
2,0,0,2,1,1,0,0,0,0,1
2,2,2,2,0,84,0,0,0,1,1
0,2,2,2,0,68,0,0,0,1,0
2,0,0,1,0,9,1,0,3,1,1
3,0,1,2,0,245,0,0,0,0,0
2,0,1,3,0,80,0,0,0,1,1
2,0,1,1,0,7,0,0,0,1,0
2,1,1,1,0,128,0,0,0,2,1
2,0,2,1,0,100,0,0,0,1,1
2,0,2,1,0,118,0,0,0,1,0
1,0,0,3,0,166,0,0,0,0,0
1,0,0,1,0,41,0,0,0,0,1
2,0,2,2,0,174,0,0,0,1,1
2,1,2,1,0,27,0,0,0,3,1
2,0,2,6,0,2,0,0,0,2,1
1,0,0,3,0,37,0,0,0,0,1
1,0,0,2,0,188,0,0,0,0,0
2,0,2,1,0,68,1,1,0,1,1
2,0,1,2,0,189,0,0,0,0,0
2,0,1,0,0,10,0,0,0,0,1
3,0,2,1,0,19,0,0,0,1,1
2,0,0,2,0,61,0,0,0,0,0
2,0,0,4,0,95,0,0,0,0,1
2,0,0,1,0,83,0,0,0,0,1
2,0,1,3,0,37,0,0,0,0,0
2,0,1,0,0,19,0,0,0,1,0
2,2,0,2,0,22,0,0,0,2,1
2,0,2,1,0,22,0,0,0,0,1
2,0,2,5,0,151,0,0,0,0,0
2,0,2,1,0,26,0,0,0,0,1
3,0,1,0,0,27,0,0,0,0,0
2,0,0,2,0,79,0,0,0,0,1
2,0,1,1,0,247,0,0,0,1,0
2,0,2,3,0,189,0,0,0,1,1
2,0,0,2,0,320,0,0,0,1,0
3,0,1,2,0,27,0,0,0,2,1
1,0,1,0,0,51,1,0,3,0,1
2,0,0,2,0,245,0,0,0,0,0
2,1,1,2,0,52,0,0,0,0,0
1,0,2,0,0,13,0,0,0,0,1
2,0,0,2,0,46,0,0,0,1,0
3,0,2,1,0,84,0,0,0,0,0
1,0,0,2,0,188,0,0,0,0,0
2,0,0,3,0,19,1,1,0,0,1
2,0,0,2,0,67,0,0,0,1,1
2,0,0,1,0,0,0,0,0,0,1
2,0,0,2,0,273,0,0,0,0,0
2,0,2,1,0,110,0,0,0,0,0
1,0,0,1,0,0,1,0,1,0,1
2,0,1,2,0,32,0,0,0,1,1
2,0,2,1,0,282,0,0,0,0,1
2,0,2,2,0,38,0,0,0,0,1
2,0,1,1,0,175,0,0,0,1,1
2,0,0,3,0,143,0,0,0,0,0
2,0,2,2,0,127,0,0,0,1,1
1,0,0,1,0,0,0,0,0,0,1
2,1,2,5,0,95,0,0,0,3,1
1,0,1,2,0,118,0,0,0,0,1
2,0,0,3,0,45,0,0,0,0,1
3,0,1,1,0,69,0,0,0,0,1
2,0,0,1,0,57,0,0,0,3,1
1,0,0,2,0,5,1,0,4,4,1
2,0,0,2,0,39,0,0,0,0,1
2,0,0,1,0,0,0,0,0,1,1
3,0,1,1,0,89,0,0,0,1,1
2,0,0,4,0,85,0,0,0,0,1
1,0,0,1,1,4,1,0,3,1,1
1,0,2,6,0,11,0,0,0,0,0
1,0,1,1,0,12,0,0,0,1,1
2,0,2,2,0,77,0,0,0,1,1
2,1,1,1,0,14,0,0,0,1,1
1,0,2,1,0,1,0,0,0,0,0
2,0,1,3,0,133,0,0,0,0,1
2,0,1,2,0,3,0,0,0,1,1
2,0,2,0,0,19,0,0,0,0,1
2,0,2,2,0,86,0,0,0,3,1
2,0,0,2,0,23,0,0,0,2,1
2,0,0,1,0,65,0,0,0,1,1
2,0,0,2,0,1,0,0,0,1,1
2,0,0,1,0,66,0,0,0,2,1
3,0,1,4,0,50,0,0,0,1,1
2,0,2,3,0,87,0,0,0,0,0
2,0,1,1,0,159,0,0,0,1,1
2,0,2,3,0,39,0,0,0,2,1
2,0,2,0,0,386,0,0,0,1,0
2,2,0,5,0,22,0,0,0,0,1
2,0,2,2,0,102,0,0,0,0,1
4,0,0,3,0,86,0,0,0,1,1
2,0,2,2,0,56,0,0,0,0,1
2,0,2,6,0,36,0,0,0,1,1
2,0,0,3,0,50,0,0,0,1,1
2,0,0,2,0,115,0,0,0,0,0
1,0,0,1,0,0,1,0,12,0,1
2,0,1,3,0,35,0,0,0,0,0
2,0,2,1,0,17,0,0,0,0,1
2,0,4,11,0,237,0,0,0,1,0
2,0,0,4,0,125,0,0,0,2,1
2,2,2,2,0,32,0,0,0,0,0
2,0,2,0,0,5,0,0,0,0,1
2,0,2,1,0,91,0,0,0,0,0
2,0,0,2,0,102,0,0,0,0,1
3,0,2,1,0,9,0,0,0,1,1
3,0,1,3,0,155,0,0,0,1,0
2,2,0,1,0,0,0,0,0,0,0
1,0,0,3,0,11,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,1
2,1,1,4,0,86,0,0,0,0,1
1,0,0,1,1,18,1,3,19,0,1
2,0,0,2,0,58,0,0,0,1,1
2,0,2,1,0,54,0,0,0,0,1
2,1,2,3,0,25,0,0,0,1,0
2,0,0,2,0,107,0,0,0,1,1
1,0,0,4,0,100,0,0,0,0,1
2,0,1,2,0,273,0,0,0,0,0
2,0,0,1,0,29,0,0,0,0,1
2,0,0,1,0,221,0,0,0,0,0
2,0,2,2,0,213,0,0,0,2,0
2,0,1,2,0,198,0,0,0,0,0
2,0,1,2,0,81,0,0,0,2,1
2,0,0,1,0,23,0,0,0,0,1
2,0,0,3,0,26,0,0,0,1,0
2,0,2,1,0,20,0,0,0,1,1
2,1,1,3,0,124,0,0,0,2,0
3,0,0,3,0,85,0,0,0,0,0
2,0,0,1,0,167,0,0,0,0,0
2,0,1,3,0,71,0,0,0,1,1
2,0,0,2,0,48,0,0,0,2,1
1,0,0,1,0,37,0,0,0,0,1
3,0,2,2,0,76,0,0,0,0,0
1,0,0,1,0,13,0,0,0,0,1
1,0,1,0,0,3,0,0,0,0,1
2,0,1,2,0,75,0,0,0,0,1
1,0,0,1,0,5,1,0,1,1,1
2,0,2,0,0,386,0,0,0,1,0
2,0,1,1,0,180,0,0,0,1,1
2,0,1,3,0,122,0,0,0,2,0
2,0,1,2,0,224,0,0,0,0,1
2,0,2,2,0,24,0,0,0,2,1
1,0,2,2,0,162,0,0,0,0,0
3,0,1,1,0,25,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,1
2,0,0,4,0,236,0,0,0,1,0
2,0,2,3,0,120,0,0,0,0,0
2,0,1,3,1,12,0,0,0,1,1
2,0,2,4,0,224,0,0,0,1,0
1,0,0,4,0,33,0,0,0,0,1
2,0,0,2,0,24,0,0,0,0,1
2,0,0,1,0,22,0,0,0,1,1
2,0,0,3,0,10,0,0,0,1,1
2,0,0,2,0,15,0,0,0,1,0
2,0,0,5,0,230,0,0,0,0,0
2,0,0,4,0,54,0,0,0,0,1
2,0,0,1,0,45,0,0,0,0,1
3,0,1,3,0,63,0,0,0,2,1
2,0,2,1,0,166,0,0,0,1,1
2,0,1,4,0,148,0,0,0,0,0
2,0,2,1,0,136,0,0,0,1,1
2,0,1,3,0,37,0,0,0,2,1
2,0,0,4,0,66,0,0,0,1,1
1,0,0,1,0,11,0,0,0,0,1
1,0,0,1,1,1,1,0,3,1,1
2,0,2,2,0,7,0,0,0,1,1
2,0,0,1,0,43,0,0,0,0,1
2,0,3,5,0,5,0,0,0,0,0
2,0,1,1,0,247,0,0,0,1,0
2,0,2,1,0,24,0,0,0,1,0
1,0,0,1,0,53,0,0,0,0,1
2,0,2,1,0,52,0,0,0,2,1
2,0,0,1,0,56,0,0,0,0,1
1,0,0,1,0,12,0,0,0,1,1
2,0,0,5,0,230,0,0,0,1,0
2,1,1,3,0,92,0,0,0,1,0
1,0,0,3,0,2,0,0,0,0,1
2,0,0,2,0,74,0,0,0,0,1
2,0,0,1,0,82,0,0,0,0,0
1,0,0,3,0,37,0,0,0,0,1
2,0,2,2,0,147,0,0,0,2,1
1,0,0,1,0,2,0,0,0,0,1
2,0,2,6,0,166,0,0,0,0,0
2,0,1,3,1,28,0,0,0,2,1
2,0,1,2,0,309,0,0,0,0,0
2,0,1,3,1,54,0,0,0,0,1
2,0,1,3,1,49,0,0,0,2,1
2,1,0,1,1,1,0,0,0,2,1
2,0,2,1,0,0,0,0,0,0,1
2,0,2,1,0,4,0,0,0,0,1
2,0,0,4,0,60,0,0,0,1,1
2,0,0,1,0,157,0,0,0,1,1
2,0,2,3,0,268,0,0,0,0,1
2,0,1,1,0,38,0,0,0,0,0
2,2,2,1,0,30,0,0,0,0,0
2,0,0,1,1,2,0,0,0,2,1
2,0,3,7,0,217,0,0,0,1,1
2,0,0,3,0,143,0,0,0,0,1
2,0,0,3,0,179,0,0,0,2,1
1,0,0,2,0,188,0,0,0,0,0
3,0,2,2,0,94,0,0,0,1,1
1,0,0,2,0,32,0,0,0,0,1
3,0,2,2,0,2,0,0,0,2,1
2,0,0,3,0,70,0,0,0,1,1
2,0,1,0,0,4,0,0,0,0,1
2,0,2,0,0,34,0,0,0,1,1
2,2,0,1,0,16,0,0,0,0,0
2,0,1,3,0,24,0,0,0,0,0
2,0,2,2,0,78,0,0,0,1,1
2,0,1,2,0,305,0,0,0,0,0
2,0,0,3,0,37,0,0,0,0,1
2,0,2,5,0,98,0,0,0,0,1
2,0,1,3,0,14,0,0,0,0,1
1,0,0,2,0,44,0,0,0,2,1
1,0,2,1,0,1,0,0,0,0,0
2,0,0,3,0,213,0,0,0,0,0
1,0,1,1,0,5,0,0,0,1,1
2,0,0,1,0,55,0,0,0,0,1
2,0,0,3,0,139,0,0,0,1,1
2,0,2,1,0,44,0,0,0,0,1
1,0,2,1,0,18,0,0,0,1,1
1,0,1,0,0,0,0,0,0,0,1
1,0,0,2,0,192,0,0,0,0,1
2,0,2,4,0,152,0,0,0,0,1
3,0,0,4,0,42,0,0,0,2,1
3,0,2,3,0,209,0,0,0,1,0
2,0,2,3,0,69,0,0,0,1,1
2,0,1,2,0,80,0,0,0,2,1
2,0,1,2,0,49,0,0,0,0,1
1,0,0,3,0,143,0,0,0,0,1
2,0,2,1,0,67,0,0,0,2,1
2,0,0,2,0,41,0,0,0,1,0
2,0,2,1,0,154,0,0,0,2,0
2,0,0,1,0,55,0,0,0,0,1
2,0,0,4,0,2,0,0,0,0,1
2,0,2,4,0,99,0,0,0,1,0
1,0,0,2,0,14,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,1
2,0,1,3,0,22,0,0,0,1,1
1,0,2,1,0,7,0,0,0,1,1
2,0,1,3,0,84,0,0,0,0,1
2,0,0,4,0,109,0,0,0,1,1
1,0,0,3,0,71,0,0,0,0,1
2,0,2,0,0,4,0,0,0,1,1
1,0,0,3,0,71,0,0,0,0,1
2,0,0,1,0,58,0,0,0,1,1
3,0,0,1,0,133,0,0,0,0,0
2,0,2,1,0,27,0,0,0,0,0
2,0,2,3,0,27,0,0,0,1,1
1,0,0,1,0,9,0,0,0,2,1
2,1,0,3,0,86,0,0,0,0,0
2,0,0,3,0,13,0,0,0,0,1
2,0,1,3,0,0,0,0,0,1,1
2,0,0,2,0,5,0,0,0,1,1
2,0,1,3,0,82,0,0,0,0,1
2,1,0,2,0,330,0,0,0,0,0
2,0,1,3,0,3,0,0,0,1,1
1,0,0,1,0,35,0,0,0,0,0
1,0,6,15,0,12,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,1
2,1,0,1,0,7,0,0,0,1,1
2,0,0,4,0,47,0,0,0,1,0
2,0,2,3,0,117,0,0,0,1,1
2,0,0,2,0,2,0,0,0,1,1
2,0,0,1,0,26,0,0,0,0,1
2,0,2,2,0,75,0,0,0,1,1
2,0,0,2,0,256,0,0,0,1,0
2,1,1,0,0,137,0,0,0,2,1
2,0,0,4,0,92,0,0,0,0,1
1,0,0,1,0,1,0,0,0,0,1
2,0,0,1,0,18,0,0,0,0,1
2,0,1,2,0,78,0,0,0,0,0
1,0,0,1,0,8,0,0,0,2,1
1,2,4,9,0,30,0,0,0,0,0
2,0,2,0,0,117,0,0,0,0,1
2,0,1,1,0,10,0,0,0,0,1
2,0,2,2,0,56,0,0,0,0,1
2,0,0,2,0,8,0,0,0,1,1
2,0,2,0,0,386,0,0,0,1,0
2,0,0,2,0,273,0,0,0,0,0
2,0,0,1,0,33,0,0,0,1,0
3,0,2,5,0,184,0,0,0,3,1
2,0,1,3,0,232,0,0,0,0,0
1,0,0,2,0,188,0,0,0,0,0
2,0,0,2,0,102,0,0,0,0,1
2,0,2,2,0,45,0,0,0,1,0
1,0,0,1,0,1,0,0,0,1,1
2,0,2,2,0,63,0,0,0,2,1
2,0,2,2,0,89,0,0,0,1,1
1,0,0,2,0,63,0,0,0,2,1
2,0,0,3,0,304,0,0,0,0,0
1,0,2,1,0,1,0,0,0,1,1
1,0,0,1,0,51,0,0,0,0,1
2,0,0,2,0,110,0,0,0,0,1
2,0,2,1,0,20,0,0,0,1,1
2,0,0,1,0,50,0,0,0,1,0
2,0,0,3,0,48,0,0,0,1,1
2,0,0,3,0,96,0,0,0,0,0
2,0,1,4,0,148,0,0,0,0,1
2,0,1,1,0,25,0,0,0,1,0
2,0,2,5,0,148,0,0,0,0,0
2,0,1,3,0,114,0,0,0,0,1
1,0,0,2,0,257,0,0,0,0,1
2,0,2,5,0,105,0,0,0,2,1
1,0,1,2,0,4,0,0,0,0,1
2,0,2,2,0,67,0,0,0,1,1
2,0,2,2,1,61,0,0,0,1,1
2,0,0,2,0,79,0,0,0,1,1
3,0,0,1,0,74,0,0,0,2,1
2,0,0,1,0,120,0,0,0,0,1
2,0,0,3,0,157,0,0,0,0,1
2,0,0,4,0,4,0,0,0,0,1
2,0,2,5,0,46,0,0,0,0,1
1,0,2,1,0,41,0,0,0,0,1
3,0,1,4,0,84,0,0,0,2,1
2,0,0,2,0,245,0,0,0,0,0
2,0,0,3,0,27,0,0,0,1,1
2,0,3,7,0,74,0,0,0,0,1
2,0,1,2,0,85,0,0,0,0,0
2,0,0,2,0,6,0,0,0,0,0
2,0,2,3,0,256,0,0,0,2,0
2,0,0,2,0,265,0,0,0,0,0
2,0,2,3,0,64,0,0,0,0,1
1,0,0,1,0,0,0,0,0,1,1
1,0,0,2,0,91,1,1,2,0,1
2,0,1,3,0,127,0,0,0,0,1
2,0,0,3,0,73,0,0,0,0,1
2,0,0,4,0,36,0,0,0,0,1
2,0,1,3,0,17,0,0,0,0,1
2,0,2,5,0,164,0,0,0,0,0
2,0,0,1,0,0,0,0,0,0,1
2,0,2,1,0,37,0,0,0,1,1
3,0,1,2,0,191,0,0,0,0,1
2,2,2,4,0,33,0,0,0,2,1
2,0,2,1,0,32,0,0,0,3,1
1,0,1,1,0,3,0,0,0,0,1
2,0,2,1,0,53,0,0,0,1,1
2,0,1,0,0,8,1,0,1,1,1
2,0,2,1,0,107,0,0,0,1,0
2,0,0,1,0,55,0,0,0,0,1
2,0,1,2,0,84,0,0,0,0,1
2,2,0,2,0,0,0,0,0,1,1
2,0,1,1,0,1,0,0,0,2,1
2,0,0,2,0,29,0,0,0,1,1
2,0,0,4,0,41,0,0,0,1,1
2,0,0,2,0,86,0,0,0,0,1
