,MinTemp,MaxTemp,RainTomorrow,RainToday
194,1.3,19.0,1,1
196,-0.4,17.9,0,1
197,4.5,16.0,1,0
198,7.9,12.3,1,1
199,4.3,14.1,1,1
201,0.3,17.0,1,1
202,3.8,17.4,1,1
203,2.4,14.7,1,1
204,1.2,14.8,1,1
205,1.2,14.5,1,1
206,-0.3,17.5,0,1
207,4.7,18.5,0,0
210,2.2,17.5,1,1
214,4.6,15.7,1,1
215,9.8,14.4,0,1
216,10.6,15.1,1,0
217,7.8,15.1,1,1
218,4.4,16.7,1,1
219,-0.2,15.5,1,1
220,4.3,14.5,1,1
223,10.2,15.0,1,0
224,7.3,16.4,1,1
225,8.7,13.0,1,1
226,1.0,11.8,1,1
227,2.1,14.7,1,1
228,6.4,16.9,1,1
229,5.4,15.5,1,1
230,0.4,15.5,1,1
231,4.0,15.9,0,1
232,8.4,11.7,1,0
233,0.4,13.9,1,1
234,4.2,14.0,1,1
235,0.9,12.9,1,1
236,0.8,13.0,1,1
238,6.3,11.8,1,1
239,3.5,14.3,1,1
240,-1.5,14.8,1,1
241,1.2,16.0,1,1
242,0.5,15.4,0,1
243,5.3,11.7,1,0
244,6.6,13.1,1,1
245,-1.6,11.5,1,1
246,-3.1,12.0,1,1
248,-0.6,14.0,1,1
251,-1.3,8.8,1,1
252,1.8,8.7,0,1
253,2.9,8.4,1,0
254,-2.6,11.1,1,1
256,2.7,16.5,1,1
258,-0.9,12.8,1,1
260,1.3,10.6,0,1
261,2.4,11.6,1,0
263,2.3,11.6,1,0
264,-2.2,11.6,1,1
265,-3.5,11.2,1,1
266,-1.0,12.2,1,1
267,-2.1,12.9,1,1
268,-2.0,11.3,1,1
269,-2.3,9.7,0,1
270,-1.6,10.7,1,0
274,3.0,9.7,0,1
275,4.4,11.5,1,0
276,2.3,12.8,1,1
277,-2.0,12.3,1,1
279,4.8,14.1,1,0
280,-0.6,11.1,0,1
281,3.1,12.5,1,0
282,-2.9,9.6,1,1
283,-3.5,7.6,1,1
284,-0.3,9.3,1,1
285,0.1,10.4,1,1
286,2.3,12.2,1,1
287,2.1,10.7,1,1
288,4.6,14.7,1,1
289,3.7,14.2,1,1
290,-1.3,11.6,1,1
291,-3.4,12.5,1,1
292,-5.3,13.1,1,1
293,0.0,14.0,1,1
294,2.4,14.1,1,1
295,-0.6,12.2,1,1
296,2.3,11.6,1,1
297,-3.7,14.4,1,1
298,-0.9,14.2,1,1
301,-0.1,14.7,1,1
303,0.5,16.3,0,1
304,6.1,17.2,0,0
305,4.1,14.8,1,0
306,0.1,16.7,1,1
307,3.2,12.1,1,1
308,5.4,11.3,1,1
309,5.8,12.4,1,1
310,6.3,16.1,1,1
311,-0.9,16.7,1,1
313,-3.7,14.7,1,1
314,-2.7,15.2,1,1
315,-2.5,16.6,1,1
316,-0.5,21.6,1,1
317,9.0,25.5,0,1
318,13.1,19.4,0,0
319,8.7,19.7,0,0
320,3.9,13.2,1,0
321,0.7,14.1,1,1
322,1.1,18.0,1,1
323,5.1,23.3,1,1
324,7.5,23.3,1,1
325,4.7,19.5,1,1
326,3.2,21.9,0,1
327,7.8,16.2,1,0
328,2.4,17.3,1,1
329,3.2,18.7,1,1
330,2.5,20.9,1,1
331,6.5,25.7,1,1
332,14.4,24.3,1,1
333,4.9,18.9,1,1
334,2.3,16.8,1,1
335,1.4,20.6,1,1
336,5.6,27.6,1,1
337,16.8,28.9,0,1
338,14.4,20.7,0,0
339,10.3,21.3,1,0
340,11.2,18.0,0,1
341,0.3,16.0,1,0
342,0.5,17.9,1,1
343,0.5,20.0,1,1
344,4.6,22.0,1,1
345,8.2,22.4,1,1
346,4.5,23.9,1,1
347,6.7,26.1,0,1
349,9.2,19.6,1,1
350,4.4,21.0,1,1
352,6.7,24.7,1,1
353,8.3,28.5,1,1
354,11.3,27.4,1,1
355,9.0,20.6,1,1
356,3.4,15.0,1,1
357,3.2,18.0,1,1
358,0.9,20.7,1,1
359,3.3,25.5,1,1
361,9.0,30.7,1,1
362,7.1,28.4,1,1
363,12.5,19.9,1,1
364,12.5,26.9,1,1
365,12.3,30.2,1,1
