"Specific Bean Origin
or Bar Name","Cocoa
Percent","Company
Location",Rating
"Bali, Jembrana",70.0,U.S.A.,2.75
Madagascar,70.0,U.S.A.,3.5
Cuyagua,70.0,U.S.A.,3.0
Ocumare,70.0,U.S.A.,3.75
Ghana,70.0,Spain,3.0
Ecuador,70.0,Spain,2.75
Ecuador,85.0,Spain,2.75
Ghana,85.0,Spain,3.0
"LamasdelChanka, San Martin, Oro Verde coop",72.0,Peru,3.25
"Bellavista Gran Pajeten, San Martin",73.0,Peru,3.5
Belize,64.0,Canada,3.0
Madagascar,66.0,Canada,3.25
Dominican Republic,75.0,Canada,3.25
Papua New Guinea,63.0,Canada,3.25
Venezuela,70.0,Canada,3.25
Peru,68.0,Canada,3.5
"Piura, Blanco de Criollo",70.0,Italy,3.75
Porcelana,70.0,Italy,4.0
Nine,75.0,Italy,4.0
Chuao,70.0,Italy,5.0
Ecuador,70.0,Italy,3.0
Jamaica,70.0,Italy,3.0
Grenada,70.0,Italy,3.5
Venezuela,70.0,Italy,3.75
Madagascar,70.0,Italy,4.0
Trinidad,70.0,Italy,3.5
Toscano Black,63.0,Italy,3.5
Toscano Black,70.0,Italy,5.0
Toscano Black,66.0,Italy,4.0
Catongo,75.0,Brazil,3.25
"Monte Alegre, 3 diff. plantations",85.0,Brazil,2.75
"Monte Alegre, 3 diff. plantations",50.0,Brazil,3.75
"Monte Alegre, 3 diff. plantations",75.0,Brazil,3.75
"Monte Alegre, 3 diff. plantations",60.0,Brazil,4.0
Elvesia,75.0,U.S.A.,3.0
Alto Beni,75.0,U.S.A.,3.5
Madagascar,75.0,France,3.0
Chiapas,72.0,France,2.5
Equateur,75.0,France,2.75
Trincheras,75.0,France,3.0
San Juan,70.0,U.S.A.,3.5
Kokoa Kamili,70.0,U.S.A.,3.75
Tien Giang,73.0,U.S.A.,3.5
Hacienda Victoria,70.0,U.S.A.,3.25
Costa Esmeraldas,70.0,U.S.A.,3.25
Lachua,70.0,U.S.A.,3.5
Rugoso,70.0,U.S.A.,3.75
"La Masica, FHIA",70.0,U.S.A.,3.5
"Coto Brus, Terciopelo",70.0,U.S.A.,4.0
Phantom,70.0,U.S.A.,4.0
Elvesia,70.0,U.S.A.,3.75
Matasawalevu,70.0,U.S.A.,3.25
Lam Dong,73.0,U.S.A.,3.25
Fazenda Camboa,70.0,U.S.A.,3.5
Nacional,68.0,U.S.A.,3.5
"Puerto Quito, heirloom",70.0,U.S.A.,3.75
Oko Caribe,70.0,U.S.A.,3.5
Maya Mountain,70.0,U.S.A.,3.75
Chuno,70.0,U.S.A.,4.0
Fazenda Camboa,75.0,U.S.A.,2.75
Guatemala,70.0,U.S.A.,3.25
Camino Verde,75.0,U.S.A.,3.5
"Trinidad, Heritage, Limited ed.",72.0,U.K.,3.25
"Colombia, Casa Luker",72.0,U.K.,3.75
Haiti,72.0,U.K.,4.0
Panama,72.0,U.K.,2.75
Venezuela,100.0,U.K.,1.75
Jamaica,72.0,U.K.,3.75
Costa Rica,72.0,U.K.,3.25
Ba Ria Vung Tau Province,72.0,U.K.,3.25
Bali,72.0,U.K.,3.5
"Ocumare, Venezuela",75.0,U.K.,2.5
Java,72.0,U.K.,2.75
Brazil Rio Doce,72.0,U.K.,1.75
Madagascar,80.0,U.K.,3.0
Peru,75.0,U.K.,3.0
Dominican Republic,72.0,U.K.,3.25
Congo,72.0,U.K.,3.75
"Orinoqua Region, Arauca",72.0,U.K.,2.75
Mababa,68.0,U.S.A.,3.75
"Tenende, Uwate",72.0,U.S.A.,3.75
Cortes,70.0,U.S.A.,3.75
Davao,77.0,U.S.A.,3.75
Xoconusco,75.0,U.S.A.,2.5
San Jose del Tambo,70.0,U.S.A.,3.0
Houseblend,80.0,Australia,3.25
Papua New Guinea,70.0,Australia,3.5
Sambirano,70.0,Australia,3.0
Bahia,70.0,Australia,2.5
Houseblend,70.0,Australia,2.5
"Bambamarca, 2015",70.0,Peru,2.75
"Huallabamba, 2015",70.0,Peru,3.5
Bahia,70.0,U.S.A.,3.5
Maranon Canyon,70.0,U.S.A.,4.0
Duarte Province,70.0,U.S.A.,3.25
Chiapas,70.0,U.S.A.,3.5
Sambirano,70.0,U.S.A.,3.75
single estate,80.0,Wales,2.75
"Dominican Republic, Batch 3",65.0,U.S.A.,3.5
Brazil,70.0,U.S.A.,3.75
Ecuador,65.0,U.S.A.,3.25
"Asajaya E, NW Borneo, b. #132/4500",73.0,U.K.,3.0
"Serian E., NW Borneo, b. #134/3800",72.0,U.K.,3.25
"Brazil, Batch 20316",80.0,U.S.A.,2.75
"Dominican Republic, Batch 31616",70.0,U.S.A.,2.75
"Ecuador, Batch 31516",70.0,U.S.A.,2.75
Ecuador,90.0,U.S.A.,2.75
Costa Rica,64.0,Belgium,2.75
Papua New Guinea,64.0,Belgium,2.75
Peru,64.0,Belgium,2.75
Ecuador,71.0,Belgium,3.5
"Kakao Kamili, Kilombero Valley",70.0,U.S.A.,3.5
"Alto Beni, Palos Blanco",70.0,U.S.A.,3.25
"Oko Caribe, Duarte P.",70.0,U.S.A.,3.5
"Belize south, low fermentation",83.0,Germany,2.75
Belize south,78.0,Germany,3.0
Belize south,83.0,Germany,3.5
Baracoa,74.0,Belgium,3.5
Chuao,74.0,Belgium,3.5
Cuyagua Village,74.0,Belgium,3.5
Rio Peripa H.,73.0,Belgium,4.0
"Bali, Sukrama Bros. Farm, Melaya, 62hr C",72.0,Belgium,4.0
"Somia Plantation, Sambirano, 70hr C",72.0,Belgium,3.75
Nature,55.0,France,2.75
Madagascar,64.0,Switzerland,3.0
Maracaibo,88.0,Switzerland,3.0
"Indigena Amazonia, Grand Cru, Quizas",72.0,Switzerland,3.5
Ecuador,72.0,Switzerland,4.0
"Carenero S., Barlovento, Grand Cru",70.0,Switzerland,3.25
"Porcelana, Premier Cru, Quizas No. 1",74.0,Switzerland,3.25
"Java, Grand Cru",64.0,Switzerland,3.5
"Ocumare, Premier Cru, Quizas No. 2",72.0,Switzerland,3.5
"Nicaragua, American style",76.0,U.S.A.,2.5
"San Andres, American style",76.0,U.S.A.,2.5
"San Andres, silk",78.0,U.S.A.,2.5
Belize,86.0,U.S.A.,3.25
Ghana,72.0,U.S.A.,3.5
"Bali, Singaraja",75.0,U.S.A.,3.25
2009 Hapa Nibby,70.0,U.S.A.,3.75
"Bali, Singaraja",65.0,U.S.A.,2.75
"Sambirano, 2009",70.0,U.S.A.,3.0
"Ocumare, prototype",78.0,U.S.A.,3.0
Puerto Plata,75.0,U.S.A.,3.0
Puerto Plata,65.0,U.S.A.,3.5
Sambirano,75.0,U.S.A.,3.25
Sambirano,65.0,U.S.A.,3.5
Sambirano,71.0,U.S.A.,3.0
Bocas del Toro,75.0,U.S.A.,3.5
Puerto Plata,68.0,U.S.A.,3.75
Ankasa,70.0,U.S.A.,3.0
La Red,70.0,U.S.A.,2.75
Carenero Superior,70.0,U.S.A.,2.75
Matiguas,70.0,U.S.A.,3.0
Blue Mountain Region,70.0,U.K.,2.75
"Congo, Grand Cru",82.0,Spain,3.5
Organic Dark,72.0,Spain,2.75
"Akesson's E., Sambirano V.",82.0,U.S.A.,3.5
Lachua,75.0,U.S.A.,2.75
Kokoa Kamili,75.0,U.S.A.,3.5
Zorzal Reserva,75.0,U.S.A.,3.0
Guatemala,70.0,U.S.A.,3.5
Madagascar,70.0,U.S.A.,3.75
Selva Maya,75.0,France,3.5
Kaori,75.0,France,4.0
"Los Colorados, Santo Domingo, Equateur",75.0,France,3.25
Surfin,65.0,France,3.75
Maragnam,75.0,France,3.5
Gabon,75.0,France,3.25
Cuba,75.0,France,3.5
"Cusco, Cacao Cusco",75.0,France,3.5
Piura Blanco,75.0,France,3.5
Libanio,75.0,France,3.75
Haiti,75.0,France,4.0
"Madagascar, 100% criollo",75.0,France,4.0
Juliana,75.0,France,3.5
Jamaique,75.0,France,3.25
Ivory Coast,75.0,France,3.0
"Porcelana, Apotequil",75.0,France,2.75
"Porcelana, Tabasco, Marfil de Blanco",75.0,France,3.0
"Xoconusco, cacao Real",75.0,France,3.0
"Porcelana, Venezuela",75.0,France,4.0
Equateur,75.0,France,2.5
Trinite,75.0,France,3.75
"Ocumare, Puerto Cabello",75.0,France,4.0
"Maracaibo, El Rosario",75.0,France,4.0
Madagascar,75.0,France,4.0
One Hundred,100.0,France,1.5
Ceylan,75.0,France,3.0
Chuao,75.0,France,4.0
"El Oro, Hacienda de Oro",77.0,Ecuador,3.25
"El Oro, Hacienda de Oro",100.0,Ecuador,1.5
Maya Mountain,70.0,U.S.A.,2.75
Conacado,70.0,U.S.A.,2.75
"Guasare, Zulia Prov.",70.0,U.S.A.,3.5
"O'payo, Waslala",70.0,U.S.A.,3.75
Conacado,68.0,U.S.A.,3.75
Maya Mountain,70.0,U.S.A.,3.75
Chuao,70.0,U.S.A.,4.0
Cooproagro,72.0,U.S.A.,3.0
"Camino Verde, Guayas",70.0,U.S.A.,3.25
Ghana,75.0,U.S.A.,3.5
"Chuao, Mantuano blend",85.0,U.S.A.,3.5
Elvesia P.,60.0,U.S.A.,3.0
Elvesia P.,80.0,U.S.A.,3.25
"Alta Verapaz, 2014",70.0,U.S.A.,3.5
Ambolikapiky P.,80.0,U.S.A.,2.75
Maya Mountain,80.0,U.S.A.,3.25
Ambolikapkly P.,60.0,U.S.A.,3.25
Jamaica,70.0,U.S.A.,3.0
Somia Plantation,72.0,Australia,3.0
Marabel Farms,70.0,Australia,3.5
"Camino Verde, Balao, Guayas",72.0,Australia,3.5
Gran Couva,68.0,Australia,2.75
Ecuador,70.0,Russia,3.25
Dominican Republic,68.0,U.S.A.,2.75
Trinidad,72.0,U.S.A.,3.25
Mindo,72.0,U.S.A.,3.5
Belize,72.0,U.S.A.,3.25
Blend,72.0,U.S.A.,3.25
"Ecuador, Bob Bar",60.0,U.S.A.,2.5
Puerto Rico,70.0,Puerto Rico,2.5
Tumbes,75.0,U.S.A.,2.5
"Dominican Republic, ""Love Bar""",75.0,U.S.A.,2.5
Dominican Republic w/ nibs,75.0,U.S.A.,2.75
Patanemo,75.0,U.S.A.,2.25
Grand 'Anse,65.0,France,3.5
Santo Domingo,70.0,France,3.0
Tanzania,75.0,France,2.0
Venezuela,72.0,France,2.0
Mexico,66.0,France,3.0
Chuao,77.0,Venezuela,3.5
Rio Caribe,75.0,Venezuela,3.25
Agua Fria; Sucre region,75.0,Venezuela,2.5
Macuare; Miranda; Chloe formula,74.0,Venezuela,3.25
"Chuao, Aragua region",75.0,Venezuela,3.5
"Chuao, Aragua region",70.0,Venezuela,3.75
Hacienda la Trinidad,74.0,Venezuela,3.25
Macondo,71.0,Colombia,3.75
Perla Negra,74.0,Colombia,3.75
Arhuacos,72.0,Colombia,3.75
Sierra Nevada,64.0,Colombia,3.5
Tumaco,70.0,Colombia,3.5
"Boyaca, Aprocampa Coop, Pauna",69.0,Colombia,2.75
Arauca,70.0,Colombia,3.25
"Jutiapa, lot 050916D",70.0,U.S.A.,3.5
"Criollo, Dominican Republic",72.0,U.S.A.,3.75
"Dominican Republicm, rustic",72.0,U.S.A.,3.0
Dominican Republic,66.0,U.S.A.,3.75
"Dominican Republic, rustic",65.0,U.S.A.,3.25
"Mahali, Kasai",70.0,Spain,3.5
Madagascar,71.0,Spain,3.5
Ecuador,71.0,Spain,3.75
Papua,71.0,Spain,4.0
Grenada,71.0,Spain,3.25
Venezuela,71.0,Spain,3.5
Venezuela,77.0,Spain,3.5
"Porcelana, Tabasco, La Joya",70.0,Spain,4.0
"Xoconusco, Chiapas",70.0,Spain,4.0
Madagascar,70.0,Japan,3.0
Peru,70.0,Japan,3.25
Vietnam,70.0,Japan,3.5
Piura,70.0,Peru,3.25
Amazonia,63.0,Ecuador,3.5
Esmeraldas,71.0,Ecuador,3.5
Bolivar,82.0,Ecuador,2.5
Pichincha,91.0,Ecuador,1.5
Grenade,60.0,Belgium,2.75
Baking,70.0,Belgium,1.0
Cuba,75.0,Italy,2.5
Dominican Republic,72.0,Italy,3.0
"Lago di Como, Blu",70.0,Italy,3.5
Ecuador,100.0,Italy,3.5
Venezuela,80.0,Italy,3.0
Sao Tome,78.0,Italy,2.25
Trinidad,70.0,Italy,2.5
Porcelana,75.0,U.S.A.,2.5
Tanzania,73.0,U.S.A.,2.75
"Porcelana, Batch 5163",70.0,U.S.A.,3.0
Bolivia,75.0,U.S.A.,3.0
Brazil,70.0,U.S.A.,3.25
Esmeraldas,77.0,Ecuador,2.0
Manabi,77.0,Ecuador,2.5
Los Rios,77.0,Ecuador,2.75
Manabi,55.0,Ecuador,3.0
Los Rios,55.0,Ecuador,3.25
Esmeraldas,55.0,Ecuador,3.5
"Saidor Estate, Madang P.",70.0,New Zealand,3.5
Kulili Estate,70.0,New Zealand,3.75
"Antigua, Special Reserve",72.0,Costa Rica,3.5
"Talamanca, Raul-Kekoldo community",72.0,Costa Rica,3.25
Anselmo Paraiso Estate,72.0,Costa Rica,3.5
Costa Rica,72.0,Costa Rica,3.0
Costa Rica,80.0,Costa Rica,2.75
Arauca,65.0,Colombia,3.0
Tumaco,65.0,Colombia,3.25
Cordoba,65.0,Colombia,3.25
Huila,65.0,Colombia,3.5
Cesar,65.0,Colombia,3.5
"Maya Mtn, Batch 454, Heirloom",72.0,U.S.A.,4.0
"the lost city, gracias a dias, batch 362",72.0,U.S.A.,3.5
"Duarte, Batch 360",70.0,U.S.A.,3.75
"Piaroa, Amazonas, Batch 350",72.0,U.S.A.,3.5
Sierra Nevada,72.0,U.S.A.,3.5
Arauca,76.0,U.S.A.,3.5
Elvesia P.,70.0,U.S.A.,2.75
Bolivia,70.0,U.S.A.,3.0
Conacado,73.0,U.S.A.,3.5
San Martin,70.0,U.S.A.,2.5
"Guaniamo, Amazonas",70.0,U.S.A.,3.25
Nicaragua,72.0,U.S.A.,3.25
Tumbes,70.0,U.S.A.,2.75
Guaniamo,72.0,U.S.A.,3.0
Ecuador,70.0,U.S.A.,2.5
Peru,70.0,U.S.A.,2.75
Venezuela,70.0,U.S.A.,2.75
Bolivia,70.0,U.S.A.,3.0
Equateur,72.0,France,2.75
Uganda,70.0,Canada,2.75
Maya Mtn,70.0,U.S.A.,3.25
Arriba,55.0,Ecuador,2.75
Los Rios,75.0,Ecuador,3.0
la Amistad,70.0,U.S.A.,3.5
Blend No. 1,70.0,France,3.5
Ecuador,70.0,U.K.,3.25
Maya Mountain w/ nibs,75.0,Germany,3.0
Maya Mountain,82.0,Germany,3.25
"Mekong Delta, early 2014 Harvest",70.0,South Korea,2.75
"Tawau, Oct. 2015 Harvest",70.0,South Korea,3.5
Peru,65.0,U.K.,2.5
Peru + nibs,65.0,U.K.,2.75
Dominican Republic,80.0,U.K.,2.5
Madagascar,70.0,U.S.A.,3.75
Venezuela,68.0,U.S.A.,3.75
"Tumbes, ""Zarumilla""",90.0,U.S.A.,2.5
"Philly Blend, 5 plantations",80.0,U.S.A.,2.5
Wild Bolivian,70.0,U.S.A.,2.5
Uganda,70.0,U.S.A.,2.75
Dominican Republic,60.0,U.S.A.,3.0
Dominican Republic,75.0,U.S.A.,3.0
Ocumare,80.0,U.S.A.,3.0
Ecuador,70.0,U.S.A.,3.25
Nicaragua,80.0,U.S.A.,2.75
Peru,74.0,U.S.A.,2.75
Tres Hombres,75.0,Amsterdam,3.25
"Congo, Gorilla bar",68.0,Amsterdam,3.5
"Peru, Awagum bar",80.0,Amsterdam,3.75
Maranon,69.0,Scotland,3.75
Carenero Superior,80.0,Scotland,3.75
Peru,70.0,Scotland,3.75
Ecuador,82.0,Scotland,2.5
Peru,68.0,Scotland,2.75
Madagascar,72.0,Scotland,3.25
Xoconusco,70.0,Canada,2.5
Patanemo,77.0,Japan,3.0
"Chiapas, Lacandon Jungle, Oaxacom Mtn",65.0,Canada,3.25
Xoconusco,71.0,Spain,3.25
Sambirano,71.0,Spain,3.5
Kendari,60.0,Spain,3.25
Tarakan,75.0,Spain,3.25
Ocumare,71.0,Spain,3.5
"Bolivar, Guaranda",71.0,Spain,2.5
Guyave,71.0,Spain,2.5
Maragda,70.0,Spain,3.0
Tabasco,65.0,U.S.A.,2.5
Tabasco,75.0,U.S.A.,2.5
Ocumare,80.0,Canada,2.5
"Porcelana, Tabasco",70.0,Canada,2.75
Brazilian,70.0,Canada,3.0
Brazilian,80.0,Canada,3.0
Ocumare,70.0,Canada,3.0
Guadeloupe,42.0,Martinique,2.75
"Chiapas, Lacandon Jungle, Oaxacom Mtn",75.0,Canada,3.25
"Maranon Canyon, Fortunato No. 4",68.0,Canada,3.75
Choroni,61.0,U.S.A.,3.0
Chuao,77.0,U.S.A.,2.75
Terreiro Velho P.,73.5,Sao Tome,3.75
Terreiro Velho P. w/ sugar crystals,80.0,Sao Tome,3.0
Terreiro Velho P.,75.0,Sao Tome,4.0
Principe,100.0,Sao Tome,1.0
"Camino Verde P., Balao, Guayas, 2014",73.0,U.S.A.,3.5
Sambirano,75.0,U.S.A.,3.0
Sur del Lago,70.0,Argentina,3.25
Carenero Superior,80.0,Argentina,2.75
Moxos,72.0,Argentina,3.25
Ocumare,70.0,Argentina,3.75
Esmeraldas,88.0,Argentina,2.75
Camino Verde,76.0,U.S.A.,3.5
"Tien Giang, 2015, batch 10-2-16",78.0,U.S.A.,2.75
"Ecuador, Puristique",65.0,Germany,3.25
Ghana Puristique,85.0,Germany,3.5
Ecuador Puristique,100.0,Germany,1.5
Uba Budo,72.0,Germany,3.75
Madagascar,70.0,Germany,3.5
Grenada,72.0,Germany,3.25
Chuao,70.0,Germany,3.0
"Los Rios, H. Iara",72.0,Germany,2.5
Trinidad,72.0,Germany,3.0
Jamaica,72.0,Germany,3.25
Ocumare 61,72.0,Germany,3.25
"Porcelana, Apotequil",72.0,Germany,3.0
"Porcelana, Apotequil",62.0,Germany,3.25
Chuao 100hr,70.0,Germany,3.5
Chuao 70hr,70.0,Germany,3.75
"Porcelana, Tabasco, Mexico",72.0,Germany,3.0
"Porcelana, Venezuela",72.0,Germany,3.0
"Sambirano, Menava P.",72.0,Germany,3.0
Sensations Intense,70.0,Belgium,1.0
New Ireland,70.0,Australia,2.5
"Vanuatu, batch 2410",83.0,Australia,2.75
"Tanzania, batch a1",75.0,Australia,3.25
"Bahia, batch a1213",65.0,Australia,3.25
"Namau Village, N. Taileva P., batch a2812",67.0,Australia,3.25
Vanuatu,64.0,Australia,3.25
Djual Island,75.0,Australia,3.5
"""heirloom"", Arriba Nacional",85.0,U.S.A.,3.25
"""heirloom"", Arriba Nacional",73.0,U.S.A.,3.75
Goodman Estate,70.0,Australia,2.75
"Daintree Estates, N. Queensland",70.0,Australia,3.25
"Dominican Republic, batch 7",72.0,U.S.A.,2.75
Robson Estate,70.0,U.K.,3.0
Los Rios,70.0,U.K.,3.5
Crayfish Bay aka Non Pariel Estate,70.0,U.K.,2.25
O'Payo,70.0,U.K.,2.75
"Zorzal Reserva, 2015 H., Kerchner",70.0,U.S.A.,3.75
"Maya Mtn., Break Bar- Snark",70.0,U.S.A.,3.0
Maya Mountain,70.0,U.S.A.,3.5
"Camino Verde P., Balao, Guayas, 2013",70.0,U.S.A.,3.5
Buto,70.0,U.S.A.,2.75
"San Francisco de Macoris, Cibao region",70.0,U.S.A.,3.75
"Cumboto, farmer Jose Lugo",70.0,U.S.A.,2.75
Patanemo,70.0,U.S.A.,3.25
"Mantuano, 2012",70.0,U.S.A.,3.5
Papua New Guinea,70.0,U.S.A.,3.5
Upala,70.0,U.S.A.,3.0
Colombian,70.0,U.S.A.,3.25
"Elvesia, 2011",70.0,U.S.A.,3.75
Dominican Republic,70.0,U.S.A.,3.25
Madagascar,70.0,U.S.A.,3.25
Tanzania,70.0,U.S.A.,3.25
Los Ujuxtes,82.0,Guatemala,3.25
Chuao,75.0,Guatemala,3.0
Los Ujuxtes,70.0,Guatemala,3.75
Sambirano,70.0,Guatemala,3.75
Las Acacias E.,70.0,Guatemala,4.0
"Oscuro, Finca Chimelb",70.0,Guatemala,3.25
Los Ujuxtes,60.0,Guatemala,3.5
Las Acacias E.,75.0,Guatemala,3.0
Las Acacias E.,60.0,Guatemala,3.25
"Venezuela, batch 122",72.0,U.S.A.,2.75
Vietnam,72.0,U.S.A.,3.0
"DUO, batch 002",70.0,U.S.A.,3.25
Bolivia,75.0,U.S.A.,3.25
Madagascar,70.0,U.S.A.,3.0
Ocumare,70.0,U.S.A.,3.25
Tanzania,70.0,U.S.A.,3.0
Ecuador,70.0,U.S.A.,3.25
Ghana,70.0,U.S.A.,2.5
Rainforest,70.0,U.S.A.,2.75
Venezuela,70.0,U.S.A.,2.75
West Africa,58.0,U.S.A.,3.25
"Nativo, Varzea",72.0,Brazil,3.5
"Selvagem, Jari",65.0,Brazil,3.5
Bundibugyo District,70.0,South Africa,2.5
"Sambirano Valley, batch 2477",70.0,South Africa,3.0
Madagascar,66.0,U.S.A.,2.5
Costa Rica,64.0,U.S.A.,3.0
Ecuador,71.0,U.S.A.,3.0
Ghana,60.0,U.S.A.,3.0
Papua New Guinea,64.0,U.S.A.,3.0
Peru,64.0,U.S.A.,3.0
Papua New Guinea,64.0,France,3.0
Venezuela,66.0,France,3.75
"Kilombero, batch 41",72.0,Canada,2.5
Bolivian,80.0,U.S.A.,2.75
Costa Rica,77.0,U.S.A.,3.5
Dominican Republic,77.0,U.S.A.,3.5
Lanquin Estate,70.0,U.S.A.,3.75
Tien Giang,78.0,U.S.A.,3.5
"Alto Beni, Wild Harvest, Limited Ed.",70.0,U.S.A.,3.75
Elvesia,74.0,U.S.A.,3.5
"Ecuador, Choc. Garage Exclusive",70.0,U.S.A.,3.25
Camino Verde,76.0,U.S.A.,3.5
Bolivia,75.0,U.S.A.,2.75
Belize,72.0,U.S.A.,2.75
Sambirano,80.0,U.S.A.,2.75
Sambirano,72.0,U.S.A.,3.0
Mantuano,75.0,U.S.A.,2.75
La Red,74.0,U.S.A.,3.0
Ecuador,70.0,U.S.A.,3.25
Puerto Cabello,85.0,U.K.,3.0
"Panama, Raven",72.0,U.K.,3.25
"Puerto Cabello, Mantuano",72.0,U.K.,3.25
Johe,72.0,U.K.,3.5
"O'ahu, N. Shore, Waialua Estate",70.0,U.S.A.,3.75
Africa,88.0,Belgium,3.0
Noir,70.0,Belgium,1.5
Hacienda Victoria,70.0,Italy,3.75
Ocumare 77,70.0,Italy,3.75
"IL100, H. San Jose",100.0,Italy,3.0
Morogoro,70.0,Italy,3.5
Guasare,70.0,Italy,3.75
"Canoabo, Hacienda San Jose",70.0,Italy,3.5
"Chuao, Hacienda San Jose",70.0,Italy,3.0
"Carupano, H. San Jose",70.0,Italy,3.0
Teyuna,70.0,Italy,3.0
Blend No. 1,78.0,Italy,3.5
Ilblend,70.0,Italy,3.75
Porcelana,70.0,Italy,4.0
"Ocumare 61, Puertomar",75.0,Italy,3.25
Granella,60.0,Italy,3.25
Madagascar,70.0,Italy,3.5
Madagared,70.0,Italy,3.5
"Java, Javablond",70.0,Italy,3.75
Ecuador,70.0,Italy,4.0
"Ocumare 67, Puertofino",70.0,Italy,4.0
Sur del Lago Classificado,70.0,Italy,3.0
Apurimac,70.0,Italy,3.25
Carenero Superior,70.0,Italy,3.5
Non Pariel Estate,75.0,U.K.,2.75
"Rio Caribe, Batch 7",70.0,U.K.,2.5
"Colombia, Batch 9",80.0,U.K.,2.75
"Madagascar, Batch 8",77.0,U.K.,2.75
"Rio Dulce, Xoco",70.0,U.K.,4.0
"Chuno, Xoco",70.0,U.K.,3.5
"Rico Rugoso, Xoco",76.0,U.K.,3.75
Ocumare,72.0,U.K.,3.75
"Indio Rojo, Xoco",72.0,U.K.,3.75
Dominican Republic,65.0,U.K.,3.5
"Bocas del Toro, Tierra Oscura",72.0,U.K.,3.0
"Nicaliso, Xoco",71.0,U.K.,3.25
Ocumare,71.0,U.K.,3.5
Panama,70.0,U.K.,3.5
"Corazon del Ecuador, Calceta beans",72.0,U.K.,3.75
Star of Ecuador,70.0,U.K.,2.5
Star of Peru,70.0,U.K.,3.75
Dominican Republic,70.0,U.S.A.,3.25
Madagascar,82.0,France,2.75
"Maranon, Joya Rara",70.0,U.S.A.,3.5
"Rio Caribe, Tepui Treasure",70.0,U.S.A.,3.5
Taino Secret,70.0,U.S.A.,3.25
"Carenero, Empyrean Sabor",70.0,U.S.A.,3.25
Corona Arriba,70.0,U.S.A.,4.0
Peru,70.0,Canada,3.25
Madagascar,70.0,Canada,3.5
Dominican Republic,70.0,Canada,3.75
Tumaco,70.0,Canada,3.25
Arauca,70.0,Canada,3.25
"Maranon, Good & Evil, w/ nibs",72.0,U.S.A.,2.75
Porcelana,68.0,Germany,3.0
"Alto Beni, Covendo Region",75.0,Bolivia,3.75
Alto Beni,71.0,Bolivia,2.75
San Joaquin,70.0,Venezuela,3.75
"Rio Caribe, Cariaco",60.5,Venezuela,2.75
"Rio Caribe, Macuro",70.0,Venezuela,3.0
"Carenero Superior, Apamate",74.0,Venezuela,2.5
"Carenero Superior, Bucare",58.0,Venezuela,2.5
"Carenero Superior, Mijao",61.0,Venezuela,3.0
"Carenero Superior, Gran Saman",70.0,Venezuela,2.75
Emerald Estate,60.0,St. Lucia,2.75
Emerald Estate,70.0,St. Lucia,3.25
Patanemo,79.0,Japan,3.0
Peru,78.0,Japan,3.5
"Wampusirpi, batch 007",75.0,U.S.A.,3.25
