Engine Size(L),Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km)
1.8,4,9.5,6.5,8.2,189
2.0,4,8.7,5.1,7.1,192
1.4,4,9.1,6.0,7.7,177
1.4,4,8.4,5.6,7.1,163
2.4,4,10.5,7.3,9.1,209
3.6,6,13.9,9.6,12.0,276
3.6,6,18.8,13.1,16.2,259
2.4,4,11.5,8.2,10.0,230
3.6,6,14.8,9.9,12.6,290
3.6,6,19.8,13.6,17.0,272
4.3,6,17.1,12.7,15.1,347
5.3,8,18.0,13.4,15.9,366
5.3,8,23.5,17.7,20.9,334
5.3,8,18.3,14.2,16.5,380
5.3,8,23.7,18.8,21.5,344
5.3,8,18.6,13.9,16.5,380
5.3,8,23.9,18.5,21.5,344
5.3,8,18.3,14.2,16.5,380
5.3,8,25.3,19.3,22.6,362
5.3,8,18.6,13.9,16.5,380
5.3,8,23.9,18.5,21.5,344
5.3,8,18.3,14.2,16.5,380
5.3,8,25.3,19.3,22.6,362
4.8,8,21.1,14.2,18.0,414
6.0,8,21.9,15.0,18.8,432
6.0,8,30.0,20.4,25.7,411
4.8,8,21.3,14.3,18.2,419
6.0,8,22.1,15.0,18.9,435
6.0,8,30.2,20.5,25.8,413
2.5,4,11.3,7.5,9.6,221
3.6,6,12.6,8.2,10.6,244
3.6,6,16.7,11.3,14.3,229
2.4,4,10.0,7.0,8.7,200
2.0,4,11.5,7.9,9.9,228
2.5,4,9.3,6.4,8.0,184
2.4,4,12.2,8.6,10.6,244
2.4,4,11.8,8.3,10.2,235
4.3,6,13.4,9.9,11.8,271
4.3,6,18.9,14.2,16.8,269
5.3,8,14.6,10.3,12.7,292
5.3,8,19.5,13.7,16.9,270
6.2,8,16.3,11.4,14.1,324
4.3,6,14.2,10.6,12.6,290
4.3,6,20.0,15.1,17.8,285
5.3,8,14.9,10.6,13.0,299
5.3,8,19.9,14.2,17.3,277
6.2,8,16.4,11.7,14.3,329
1.4,4,9.1,6.7,8.0,184
1.4,4,8.5,6.2,7.5,173
1.8,4,9.6,6.6,8.3,191
1.8,4,8.9,6.7,7.9,182
1.4,4,9.4,7.0,8.3,191
1.4,4,8.8,7.0,8.0,184
1.4,4,9.1,6.7,8.0,184
1.4,4,8.5,6.2,7.5,172
1.8,4,9.6,6.6,8.3,191
1.8,4,8.9,6.7,7.9,182
1.4,4,9.4,7.0,8.3,191
1.4,4,8.8,7.0,8.0,184
1.2,4,7.7,6.0,6.9,159
1.2,4,7.6,6.0,6.9,159
5.3,8,16.0,11.1,13.8,317
5.3,8,21.5,14.6,18.4,294
5.3,8,16.0,11.1,13.8,317
5.3,8,21.5,14.6,18.4,294
5.3,8,16.0,11.1,13.8,317
5.3,8,21.5,14.6,18.4,294
5.3,8,16.0,11.1,13.8,317
5.3,8,21.5,14.6,18.4,294
3.6,6,14.3,9.9,12.3,283
3.6,6,14.6,10.2,12.6,290
1.4,4,9.4,7.1,8.4,193
1.4,4,9.1,6.8,8.1,186
1.4,4,10.0,7.8,9.0,207
3.6,6,12.4,7.7,10.3,237
2.4,4,11.7,8.2,10.1,232
2.4,4,12.9,8.1,10.7,246
3.6,6,12.5,8.1,10.5,242
3.6,6,17.0,11.2,14.4,230
2.4,4,11.2,8.0,9.8,225
2.4,4,12.0,7.6,10.0,230
3.6,6,12.5,8.1,10.5,242
3.6,6,17.0,11.2,14.4,230
5.7,8,15.8,9.2,12.8,294
3.6,6,12.8,8.6,10.9,251
5.7,8,16.1,10.0,13.4,308
3.6,6,12.8,8.6,10.9,251
3.6,6,17.3,11.7,14.8,237
3.6,6,12.4,7.7,10.3,237
3.6,6,16.8,10.3,13.9,222
6.4,8,16.7,10.3,13.8,317
3.6,6,14.1,9.5,12.0,276
3.6,6,19.7,13.3,16.8,269
2.4,4,11.2,8.0,9.8,225
2.4,4,12.0,7.6,10.0,230
3.6,6,12.5,8.1,10.5,242
3.6,6,17.0,11.2,14.4,230
3.6,6,13.2,8.7,11.2,258
5.7,8,15.6,10.0,13.1,301
5.7,8,15.8,9.2,12.8,294
6.4,8,16.8,10.4,13.9,320
6.4,8,16.7,10.3,13.8,317
3.6,6,13.2,8.7,11.2,258
3.6,6,12.4,7.7,10.3,237
5.7,8,15.8,9.2,12.8,294
3.6,6,12.8,8.6,10.9,251
5.7,8,16.1,10.0,13.4,308
3.6,6,12.8,8.6,10.9,251
3.6,6,17.3,11.7,14.8,237
3.6,6,13.2,8.7,11.2,258
3.6,6,18.3,12.6,15.7,251
3.6,6,12.3,7.6,10.2,235
3.6,6,16.8,10.3,13.9,222
6.4,8,16.7,10.3,13.8,317
2.0,4,9.4,6.5,8.1,186
2.4,4,10.1,6.8,8.6,198
2.4,4,10.5,6.7,8.8,202
2.0,4,9.9,7.0,8.6,198
2.0,4,14.2,9.8,12.2,195
2.4,4,10.6,7.5,9.2,212
2.4,4,10.2,7.0,8.8,202
1.4,4,8.4,5.9,7.3,168
1.4,4,8.5,5.8,7.3,168
5.7,8,17.3,10.8,14.4,331
3.6,6,13.9,9.8,12.1,278
3.6,6,17.7,13.0,15.6,250
3.6,6,13.7,9.4,11.8,271
3.6,6,19.2,13.1,16.5,264
2.4,4,12.7,9.1,11.1,255
3.6,6,14.5,9.9,12.4,285
3.6,6,14.2,9.4,12.0,276
3.6,6,18.9,12.9,16.2,259
1.4,4,8.5,6.9,7.8,179
1.4,4,8.5,6.9,7.8,179
1.4,4,8.7,6.9,7.9,182
1.4,4,7.9,6.3,7.2,166
1.4,4,8.5,6.9,7.8,179
1.4,4,8.7,6.9,7.9,182
1.4,4,7.6,5.9,6.8,156
1.4,4,8.5,6.9,7.8,179
1.4,4,10.0,7.2,8.7,200
1.4,4,9.3,7.2,8.4,193
2.0,4,5.6,6.4,6.0,138
4.6,8,17.7,14.4,16.2,373
4.6,8,24.1,19.2,21.9,350
5.4,8,19.3,14.7,17.2,396
5.4,8,24.9,19.6,22.5,360
4.6,8,18.6,14.6,16.8,386
4.6,8,25.5,20.0,23.0,368
6.8,10,23.9,17.8,21.2,488
5.4,8,20.6,15.5,18.3,421
5.4,8,26.7,20.5,23.9,382
2.0,4,11.3,7.9,9.8,225
3.5,6,12.6,8.7,10.8,248
3.5,6,13.3,9.3,11.5,264
3.7,6,13.7,10.4,12.2,281
1.6,4,10.4,7.4,9.1,209
2.0,4,10.9,8.0,9.6,221
2.5,4,10.9,7.5,9.4,216
1.6,4,10.5,7.9,9.3,214
2.0,4,11.2,8.5,10.0,230
5.4,8,18.2,13.3,16.0,368
5.4,8,24.5,18.0,21.6,346
2.0,4,11.8,8.3,10.2,235
3.5,6,14.8,10.7,13.0,299
3.5,6,13.7,9.7,11.9,274
3.5,6,18.3,12.9,15.9,254
3.5,6,14.3,10.3,12.5,288
3.5,6,18.9,13.9,16.7,267
3.5,6,14.5,10.6,12.7,292
3.5,6,14.6,10.6,12.8,294
6.2,8,18.3,12.9,15.9,366
3.5,6,15.9,11.3,13.8,317
3.5,6,15.4,11.0,13.4,308
6.2,8,20.1,14.4,17.5,402
3.7,6,14.0,10.3,12.3,283
3.7,6,18.8,13.7,16.5,264
3.7,6,14.0,10.3,12.3,283
3.7,6,18.8,13.7,16.5,264
5.0,8,16.4,12.3,14.6,336
5.0,8,22.1,16.7,19.7,315
5.0,8,16.4,12.3,14.6,336
5.0,8,22.1,16.7,19.7,315
3.7,6,15.0,11.4,13.4,308
3.7,6,20.2,15.3,18.0,288
3.7,6,15.0,11.4,13.4,308
3.7,6,20.2,15.3,18.0,288
5.0,8,16.8,12.6,14.9,343
5.0,8,22.4,17.0,20.0,320
5.0,8,16.7,12.5,14.8,340
5.0,8,22.4,16.9,19.9,318
6.2,8,20.4,15.0,18.0,414
1.6,4,8.5,6.5,7.6,175
1.6,4,8.6,6.4,7.6,175
1.0,4,7.5,5.5,6.6,152
1.6,4,8.0,5.8,7.0,161
1.6,4,8.9,6.8,8.0,184
3.5,6,13.2,9.4,11.5,264
3.5,6,13.7,10.2,12.1,278
3.5,6,14.8,10.4,12.8,294
2.0,4,10.2,7.4,8.9,205
2.0,4,8.8,6.4,7.7,177
2.0,4,11.7,8.5,10.3,165
2.0,4,8.9,6.4,7.8,179
2.0,4,11.7,8.5,10.3,165
2.0,4,9.1,6.6,8.0,184
2.0,4,11.9,8.9,10.6,170
2.0,4,8.4,5.8,7.2,166
2.0,4,11.6,8.3,10.1,162
1.5,4,10.1,6.6,8.5,196
1.6,4,9.4,6.4,8.1,186
2.0,4,10.5,7.1,9.0,207
2.5,4,10.5,7.0,8.9,205
1.5,4,9.5,6.3,8.1,186
2.0,4,10.9,7.5,9.4,216
2.0,4,5.3,5.7,5.5,126
3.7,6,12.1,7.8,10.2,235
3.7,6,12.7,8.1,10.6,244
5.0,8,13.3,9.3,11.5,264
5.0,8,15.4,9.4,12.7,292
5.8,8,15.9,9.9,13.2,304
3.7,6,12.5,8.2,10.6,244
2.0,4,10.5,7.3,9.1,209
3.5,6,13.7,9.4,11.8,271
3.5,6,12.1,8.1,10.3,237
3.5,6,17.0,11.1,14.3,229
3.5,6,13.0,9.1,11.2,258
3.5,6,18.4,12.5,15.7,251
1.6,4,10.8,8.0,9.5,218
2.5,4,11.3,8.2,9.9,228
1.6,4,11.5,8.3,10.1,232
2.5,4,11.9,8.5,10.4,239
3.6,6,14.3,9.9,12.3,283
3.6,6,14.9,10.4,12.9,297
4.3,6,17.1,12.7,15.1,347
5.3,8,18.0,13.4,15.9,366
5.3,8,23.5,17.7,20.9,334
5.3,8,18.3,14.2,16.5,380
5.3,8,23.7,18.8,21.5,344
5.3,8,18.6,13.9,16.5,380
5.3,8,23.9,18.5,21.5,344
5.3,8,18.3,14.2,16.5,380
5.3,8,25.3,19.3,22.6,362
5.3,8,18.6,13.9,16.5,380
5.3,8,23.9,18.5,21.5,344
5.3,8,18.3,14.2,16.5,380
5.3,8,25.3,19.3,22.6,362
4.8,8,21.1,14.2,18.0,414
6.0,8,21.9,15.0,18.8,432
6.0,8,30.0,20.4,25.7,411
4.8,8,21.3,14.3,18.2,419
6.0,8,22.1,15.0,18.9,435
6.0,8,30.2,20.5,25.8,413
4.3,6,13.4,9.9,11.8,271
4.3,6,18.9,14.2,16.8,269
5.3,8,14.6,10.3,12.7,292
5.3,8,19.5,13.7,16.9,270
6.2,8,16.3,11.4,14.1,324
4.3,6,14.2,10.6,12.6,290
4.3,6,20.0,15.1,17.8,285
5.3,8,14.9,10.6,13.0,299
5.3,8,19.9,14.2,17.3,277
6.2,8,16.4,11.7,14.3,329
2.4,4,10.5,7.3,9.1,209
3.6,6,13.9,9.6,12.0,276
3.6,6,18.8,13.1,16.2,259
2.4,4,11.5,8.2,10.0,230
3.6,6,14.8,9.9,12.6,290
3.6,6,19.8,13.6,17.0,272
5.3,8,16.0,11.1,13.8,317
5.3,8,21.5,14.6,18.4,294
5.3,8,16.0,11.1,13.8,317
5.3,8,21.5,14.6,18.4,294
6.2,8,17.0,11.8,14.7,338
6.2,8,23.3,16.1,20.1,322
6.2,8,18.8,13.4,16.4,377
6.2,8,25.7,17.8,22.1,354
5.3,8,16.0,11.1,13.8,317
5.3,8,21.5,14.6,18.4,294
5.3,8,16.0,11.1,13.8,317
5.3,8,21.5,14.6,18.4,294
2.4,4,9.0,6.6,7.9,182
2.4,4,9.1,6.9,8.1,186
2.4,4,10.1,6.9,8.7,200
3.5,6,11.0,6.8,9.1,209
3.5,6,11.4,7.3,9.6,221
3.5,6,13.0,8.4,10.9,251
2.0,4,4.7,4.9,4.8,110
1.8,4,7.9,6.0,7.0,161
1.8,4,8.1,6.2,7.2,166
1.8,4,8.5,6.6,7.6,175
3.5,6,12.5,8.5,10.7,246
2.4,4,10.3,7.6,9.1,209
2.4,4,10.6,7.9,9.4,216
1.5,4,6.6,6.0,6.3,145
1.5,4,7.6,6.1,6.9,159
1.5,4,8.3,6.5,7.5,172
1.5,4,8.3,6.9,7.7,177
3.5,6,12.3,8.5,10.6,244
3.5,6,13.3,9.3,11.5,265
3.5,6,13.9,9.7,12.0,276
3.5,6,15.2,11.3,13.4,308
1.6,4,8.8,6.3,7.7,177
1.6,4,8.7,6.4,7.7,177
2.0,4,9.8,7.2,8.6,198
2.0,4,9.8,7.0,8.5,196
5.0,8,15.7,10.2,13.2,304
3.8,6,13.0,8.7,11.1,255
3.3,6,13.0,9.1,11.2,258
3.3,6,13.3,9.5,11.6,267
2.4,4,11.6,8.7,10.3,237
2.0,4,12.9,9.7,11.5,264
2.4,4,12.5,9.4,11.1,255
2.0,4,11.4,7.5,9.6,221
2.4,4,9.8,7.0,8.5,196
2.4,4,6.5,5.9,6.2,143
2.4,4,6.6,5.9,6.3,145
2.0,4,10.2,8.2,9.3,214
2.0,4,11.4,8.6,10.1,232
2.4,4,11.3,8.3,10.0,230
2.0,4,11.4,9.3,10.5,242
2.4,4,11.6,9.3,10.6,244
1.6,4,8.6,6.6,7.7,177
1.6,4,9.1,6.7,8.0,184
1.6,4,9.9,7.5,8.8,202
1.6,4,9.7,7.1,8.5,196
3.7,6,12.0,8.0,10.2,235
3.7,6,12.6,8.7,10.8,248
3.5,6,8.2,6.7,7.5,172
3.5,6,8.7,7.5,8.2,189
3.7,6,13.3,9.4,11.5,265
3.7,6,13.6,9.3,11.7,269
3.7,6,14.3,9.8,12.3,283
3.7,6,12.9,8.9,11.1,255
3.7,6,13.5,9.3,11.6,267
3.7,6,12.8,8.9,11.0,253
5.6,8,14.5,9.5,12.3,283
3.7,6,13.2,9.6,11.6,267
5.6,8,15.0,10.2,12.8,294
3.5,6,8.0,7.0,7.6,175
3.7,6,13.6,9.6,11.8,271
3.5,6,11.9,9.0,10.6,244
3.5,6,12.3,9.3,11.0,253
2.5,4,8.8,8.2,8.5,196
3.7,6,14.5,10.7,12.8,294
5.0,8,16.6,11.9,14.5,334
5.6,8,17.4,12.1,15.0,345
3.0,6,11.8,8.4,10.3,237
3.0,6,12.2,8.7,10.6,244
5.0,8,15.0,10.2,12.8,294
2.0,4,12.3,8.2,10.5,242
3.0,6,14.7,9.1,12.2,281
5.0,8,15.7,10.3,13.3,306
5.0,8,21.3,14.1,18.1,290
5.0,8,15.7,10.3,13.3,306
3.0,6,14.6,9.6,12.4,285
5.0,8,15.8,10.2,13.3,306
5.0,8,20.6,13.6,17.5,280
3.0,6,14.7,9.6,12.4,285
5.0,8,15.8,10.2,13.3,306
5.0,8,20.6,13.6,17.5,280
5.0,8,15.8,10.2,13.3,306
5.0,8,15.8,10.2,13.3,306
5.0,8,15.1,10.6,13.1,301
5.0,8,14.8,9.9,12.6,290
5.0,8,15.9,10.9,13.7,315
5.0,8,15.6,10.9,13.5,310
5.0,8,15.9,10.9,13.7,315
5.0,8,15.6,10.9,13.5,310
2.4,4,10.9,7.7,9.5,218
3.2,6,12.3,8.3,10.5,242
2.4,4,11.3,8.3,10.0,230
3.2,6,12.5,8.8,10.8,248
2.4,4,11.4,8.6,10.1,232
3.2,6,12.5,9.1,11.0,253
2.4,4,12.1,9.4,10.9,251
3.2,6,13.4,9.5,11.6,267
2.0,4,10.7,8.8,9.9,228
2.0,4,11.1,8.3,9.8,225
2.0,4,10.2,7.8,9.1,209
2.4,4,11.1,8.3,9.8,225
2.4,4,10.3,8.3,9.4,216
2.4,4,11.4,8.7,10.2,235
2.4,4,10.3,8.4,9.4,216
2.4,4,11.7,10.3,11.1,255
5.7,8,17.3,11.7,14.8,340
3.0,6,11.2,8.4,9.9,267
3.6,6,13.9,9.8,12.1,278
3.6,6,17.7,13.0,15.6,250
6.4,8,18.5,12.6,15.8,363
2.0,4,10.7,8.8,9.9,228
2.0,4,11.1,8.3,9.8,225
2.0,4,10.2,7.8,9.1,209
2.4,4,11.1,8.3,9.8,225
2.4,4,10.3,8.3,9.4,216
2.4,4,11.4,8.7,10.2,235
2.4,4,10.3,8.4,9.4,216
2.4,4,11.7,10.3,11.1,255
3.6,6,14.1,11.1,12.8,294
3.6,6,14.2,11.0,12.8,294
3.6,6,14.8,11.7,13.4,308
3.6,6,15.0,11.4,13.4,308
3.3,6,12.7,8.8,10.9,251
1.8,4,9.6,6.6,8.3,191
1.8,4,9.3,6.4,8.0,184
2.0,4,9.8,6.6,8.4,193
2.0,4,9.7,6.8,8.4,193
1.6,4,11.1,8.0,9.7,223
1.6,4,11.1,8.2,9.8,225
2.0,4,9.7,6.8,8.4,193
2.0,4,9.8,7.0,8.5,196
1.6,4,10.6,7.9,9.4,216
1.6,4,10.8,8.1,9.6,221
2.0,4,9.6,7.0,8.4,193
2.0,4,9.8,7.2,8.6,198
2.0,4,11.7,7.6,9.9,228
2.4,4,10.2,6.8,8.7,200
2.4,4,6.5,5.9,6.2,143
2.4,4,6.7,6.0,6.4,147
1.6,4,8.7,6.3,7.6,175
1.6,4,8.7,6.4,7.7,177
1.6,4,8.5,6.4,7.6,175
2.0,4,10.5,7.5,9.2,212
2.0,4,10.8,7.4,9.3,214
3.5,6,13.7,9.9,12.0,276
2.4,4,11.8,8.5,10.3,237
3.3,6,12.9,9.5,11.4,262
2.4,4,12.3,9.3,11.0,253
3.3,6,13.4,9.9,11.8,271
1.6,4,9.8,7.9,8.9,205
1.6,4,9.9,7.8,9.0,207
2.0,4,10.1,7.8,9.1,209
2.0,4,9.7,7.8,8.8,202
2.4,4,11.4,8.3,10.0,230
2.4,4,12.9,9.3,11.3,260
2.0,4,12.7,9.7,11.4,262
2.4,4,12.0,9.1,10.7,246
6.5,12,22.8,12.9,18.3,421
5.2,10,18.0,12.8,15.7,361
5.2,10,20.6,13.5,17.4,400
2.0,4,13.5,9.9,11.9,274
3.0,6,16.3,12.4,14.5,334
2.0,4,11.3,7.9,9.8,225
2.0,4,11.3,7.9,9.8,225
5.0,8,18.0,12.2,15.4,354
5.0,8,17.2,12.5,15.1,347
5.0,8,25.0,16.9,21.4,342
3.0,6,14.2,10.2,12.4,285
3.0,6,14.2,10.2,12.4,285
3.0,6,19.4,14.9,17.4,278
5.0,8,17.3,12.2,15.0,345
5.0,8,16.6,12.3,14.7,338
5.0,8,24.0,16.6,20.7,331
3.0,6,14.1,10.1,12.3,283
3.0,6,14.1,10.1,12.3,283
3.0,6,19.4,14.8,17.3,277
5.0,8,18.0,12.2,15.4,354
5.0,8,17.2,12.5,15.1,347
5.0,8,25.0,16.9,21.4,342
1.8,4,5.5,5.8,5.6,129
2.5,4,5.8,6.2,6.0,138
3.5,6,11.3,7.6,9.6,221
3.5,6,12.1,8.3,10.4,239
3.5,6,12.5,9.1,11.0,253
3.5,6,7.7,7.4,7.6,175
4.6,8,15.7,11.8,13.9,320
2.5,6,11.2,7.8,9.7,223
2.5,6,11.8,8.7,10.4,239
2.5,6,11.2,7.8,9.7,223
3.5,6,12.2,8.7,10.6,244
3.5,6,12.5,9.1,11.0,253
3.5,6,12.1,8.7,10.6,244
5.0,8,14.6,10.1,12.6,290
4.6,8,14.5,9.6,12.3,283
4.6,8,15.1,10.3,12.9,297
4.6,8,15.1,10.3,12.9,297
5.0,8,12.0,10.7,11.4,262
5.7,8,18.8,13.6,16.5,380
3.5,6,13.3,9.8,11.7,269
3.5,6,12.7,9.1,11.1,255
3.5,6,7.9,8.6,8.2,189
3.5,6,13.7,9.4,11.8,271
3.7,6,13.1,9.0,11.3,260
3.5,6,14.8,10.4,12.8,294
2.0,4,11.5,8.5,10.2,235
3.7,6,14.0,9.9,12.2,281
3.7,6,13.7,10.4,12.2,281
2.0,4,10.5,7.1,9.0,207
3.7,6,13.1,9.3,11.4,262
2.0,4,6.2,6.4,6.3,145
5.4,8,18.2,13.3,16.0,368
